speaker_id,n_test,n_normal,n_disordered,threshold,accuracy,precision,recall,specificity,f1,tn,fp,fn,tp
1,193,61,132,0.36,0.7202,0.9239,0.6439,0.8852,0.7589,54,7,47,85
2,128,39,89,0.44,0.7031,1.0000,0.5730,1.0000,0.7286,39,0,38,51
3,128,34,94,0.32,0.8359,0.9867,0.7872,0.9706,0.8757,33,1,20,74
4,76,49,27,0.43,0.8684,0.8696,0.7407,0.9388,0.8000,46,3,7,20
5,126,42,84,0.30,0.8413,0.9103,0.8452,0.8333,0.8765,35,7,13,71
6,127,40,87,0.36,0.8661,0.9487,0.8506,0.9000,0.8970,36,4,13,74
7,127,38,89,0.46,0.7402,0.9828,0.6404,0.9737,0.7755,37,1,32,57
8,172,40,132,0.31,0.9244,0.9407,0.9621,0.8000,0.9513,32,8,5,127
9,82,73,9,0.38,0.8659,0.4286,0.6667,0.8904,0.5217,65,8,3,6
10,131,113,18,0.32,0.6336,0.2500,0.8333,0.6018,0.3846,68,45,3,15
11,123,123,0,0.31,0.5366,0.0000,0.0000,0.5366,0.0000,66,57,0,0
12,127,127,0,0.36,0.4803,0.0000,0.0000,0.4803,0.0000,61,66,0,0
13,80,80,0,0.35,0.7875,0.0000,0.0000,0.7875,0.0000,63,17,0,0
14,132,126,6,0.35,0.5227,0.0476,0.5000,0.5238,0.0870,66,60,3,3
15,134,120,14,0.35,0.5000,0.1558,0.8571,0.4583,0.2637,55,65,2,12
16,114,114,0,0.41,0.6316,0.0000,0.0000,0.6316,0.0000,72,42,0,0
